movie_title,title_year,facenumber_in_poster,director_ig_followers,actor_1_ig_follow,actor_2_ig_follow,duration,plot_keywords,buget,gross,num_critic_for_review,num_user_for_review,movie_ig,cast_total_facebook_like,imdb_socre,num_awards_won,num_voted_user,hi,bye,gn,box_office
Rogue One: A Star Wars Story,2016,7,4451,99500,13969980.28,133,0,200000000,532000000,65,373473,0,0,7.9,8,0,0,0,0,532171696
Captain America: Civil War,2016,10,24000,3700000,56800000,147,0,250000000,408000000,75,451386,0,0,7.9,13,0,0,0,0,408080554
The Jungle Book (2016),2016,1,240000,444000,6500000,106,0,170000000,364000000,77,211530,0,0,7.5,2,0,0,0,0,363995937
Zootopia,2016,2,355591.1935,343000,13969980.28,108,0,89902666.67,341000000,78,320880,0,0,8,47,0,0,0,0,341264012
Suicide Squad,2016,10,55300,276000,13969980.28,137,0,175000000,325000000,40,446021,0,0,6.2,13,0,0,0,0,325021779
Moana,2016,2,180,8327751.648,397000000,107,0,89902666.67,249000000,81,161930,0,0,7.6,21,0,0,0,0,248752120
Doctor Strange,2016,1,129000,8327751.648,13969980.28,115,0,165000000,233000000,72,358456,0,0,7.5,6,0,0,0,0,232630718
Jason Bourne,2016,1,0,107000,21000000,123,0,120000000,162000000,58,165127,0,0,6.7,3,0,0,0,0,162162120
X-Men: Apocalypse,2016,11,236000,2900000,13969980.28,144,0,178000000,155000000,52,300654,0,0,7,3,0,0,0,0,135729385
La La Land,2016,2,1959,51500000,13969980.28,128,0,30000000,151000000,93,322878,0,0,8.1,232,0,0,0,0,151058124
Ghostbusters (2016),2016,5,175000,58800000,12700000,116,0,144000000,128000000,60,159583,0,0,5.3,4,0,0,0,0,128344089
The Legend of Tarzan,2016,2,5965,49800,13969980.28,110,0,180000000,127000000,44,129910,0,0,6.3,1,0,0,0,0,126585313
Bad Moms,2016,6,258000,8327751.648,30500,101,0,20000000,113000000,60,78773,0,0,6.2,71,0,0,0,0,113217955
Independence Day: Resurgence,2016,0,37800,2600000,13969980.28,120,0,165000000,103000000,32,138944,0,0,5.3,6,0,0,0,0,103137295
Arrival,2016,2,6812,21000000,253000,116,0,47000000,101000000,81,407062,0,0,8,5,0,0,0,0,100501349
Sausage Party,2016,1,1220,10900000,2681,89,0,19000000,97685686,66,134603,0,0,6.2,1,0,0,0,0,97661826
Ride Along 2,2016,2,55800,30900000,179000000,102,0,40000000,91221830,32,41035,0,0,5.9,3,0,0,0,0,87240689
Miss Peregrine's Home for Peculiar Children,2016,4,2200000,1300000,985000,127,0,110000000,87242834,57,119279,0,0,6.7,3,0,0,0,0,82035527
Teenage Mutant Ninja Turtles: Out of the Shadows,2016,4,36500,21900000,2800000,112,0,135000000,82051601,40,66141,0,0,6,2,0,0,0,0,77037635
Alice Through the Looking Glass,2016,2,30000,8327751.648,28700000,113,0,170000000,77041381,34,63741,0,0,6.2,3,0,0,0,0,75311445
The Girl on the Train (2016),2016,1,355591.1935,8327751.648,310000,112,0,45000000,75395035,48,119299,0,0,6.5,2,0,0,0,0,72655779
Storks,2016,2,7135,726000,1668,87,0,70000000,72679278,56,41567,0,0,6.8,1,0,0,0,0,67235683
Lights Out,2016,0,46700,682,13969980.28,81,0,4900000,67268835,58,83078,0,0,6.3,1,0,0,0,0,389706608.4
The Divergent Series: Allegiant,2016,5,1670,4700000,89000,120,0,89902666.67,66184051,33,78137,0,0,5.7,2,0,0,0,0,64060187
Ice Age: Collision Course,2016,9,818,2400000,13969980.28,94,0,105000000,64063008,34,39070,0,0,5.7,54,0,0,0,0,73098411
London Has Fallen,2016,5,1435,15100,13969980.28,99,0,60000000,62524260,28,107731,0,0,5.9,77,0,0,0,0,52069651
